성씨, 2015
김(金),1069
이(李),731
박(朴),419
최(崔),233
정(鄭),215
강(姜),118
조(趙),106
윤(尹),102
장(張),99
임(林),82
한(韓),77
오(吳),76
서(徐),75
신(申),74
권(權),71
황(黃),70
안(安),69
송(宋),68
전(全),56
홍(洪),56
