都道府県,性別,平均寿命,健康寿命,年少人口,老年人口,共働き,気温,湿度,降水量,雪日数,県所得,財政力指数,学歴大学,１次産業就業,２次産業就業,３次産業就業,完全失業率,図書館数,ボランティア活動,スポーツの行動者率,旅行・行楽行動者率,持ち家,公園数,病院数,医師数,交通事故件数,スマートフォン,喫煙率,毎日酒を飲む割合,軽く汗をかく運動,糖尿病,食塩摂取量,BMI,歩数,血圧薬の使用,ジニ係数,地域スポーツクラブ育成率,老人クラブ入会率,健康・医療サービス活動,まちづくり活動,う蝕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
長崎県,男,78.88,78.32,13,29.6,25.86,17.3,73,"2,392",10,"2,419",0.301,11,7.9,19.5,69.2,6.6,26.8,26.9,60.1,65,66,70.14,9.2,287.7,444.5,970,36.9,0.417,0.328,4.5,11.3,24.4,6822.7,0.283057217,0.362,100.00%,0.196189454,2.8,14,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
熊本県,男,80.29,79.44,13.6,28.8,28.1,17.2,74,"2,292",6,"2,422",0.369,12.4,10.2,20.6,66.6,6.7,24.8,30.7,60.3,67.7,64.1,60.73,9.8,275.3,371.8,"1,026",35.5,0.426,0.321,4.6,10.7,24,7200.1,0.265968071,0.36,91.10%,0.20686761,4.1,18.1,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大分県,男,80.06,79,12.7,30.4,25.67,16.8,71,"1,678",6,"2,559",0.343,12.7,7.2,23.5,66,7.1,29.4,28.9,60.6,68.1,63.7,62.69,11.4,260.8,421.6,892,35.4,0.432,0.322,5.7,11,24,6937.4,0.252700442,0.377,100.00%,0.178615911,4.9,16.9,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宮崎県,男,79.7,78.44,13.7,29.5,27.89,17.7,77,"3,193",1,"2,407",0.304,10.4,11.4,20.8,64.3,7,24.8,27.8,61.9,64.9,67.4,53.28,11,233.2,856.4,969,35.6,0.476,0.35,5.6,11,23.6,8060.7,0.275561744,0.342,65.40%,0.116516007,3.5,15.1,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鹿児島県,男,79.21,78.12,13.5,29.4,24.97,18.8,74,"3,664",5,"2,399",0.306,10.6,10,18.8,67.2,6.8,37.1,34.4,61.4,67,65.4,38.57,13,247.8,487.4,"1,017",33.5,0.453,0.323,7.2,11.1,23.7,7239.8,0.281684824,0.378,100.00%,0.170924614,3.9,20.9,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
沖縄県,男,79.4,78.19,17.4,19.6,22.35,23.6,73,"1,425",0,"2,102",0.296,12.7,5,14,72.3,11,27.1,22.4,62.3,50.8,48,66.1,5.7,241.5,392.1,954,32,0.33,0.368,6.7,9.5,24.3,8079,0.305295818,0.366,85.40%,0.157847749,4.6,10.2,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道,女,86.3,83.45,11.4,29.1,21.24,10,67,"1,275",108,"2,545",0.398,11.3,7.2,17.1,70.2,7.1,26.2,23.8,60,72,57.7,34.05,9.2,230.2,206.7,865,17.8,0.13,0.266,3.2,9.7,22.8,6095,0.164118739,0.36,62.60%,0.08697351,3.1,8.6,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
青森県,女,85.34,82.07,11.4,30.1,27.31,11.5,74,"1,004",102,"2,426",0.317,9.1,12.7,20,64.6,9,24.2,22.7,49.4,59.1,71.3,26.31,6.1,193.3,294.6,848,14.3,0.116,0.232,3.7,9.8,23.2,6283.4,0.206738146,0.374,72.50%,0.112928982,2.5,9.1,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
岩手県,女,85.86,83.57,11.9,30.4,29.57,11.6,73,"1,094",96,"2,698",0.318,9.7,12,24.3,62.3,7.1,35,33.7,55,65.2,68.9,32.6,5.9,192,200.1,909,10.2,0.117,0.204,2.7,11.1,23.4,6677.6,0.178494427,0.347,90.90%,0.163229165,3.2,15.5,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宮城県,女,86.39,83.74,12.5,25.7,24.6,13.7,69,"1,445",58,"2,857",0.559,14.3,5,22.1,70.5,7.8,15.5,30.7,60.2,73.9,58,90.25,4.9,221.2,369.5,"1,048",11.9,0.119,0.267,1.8,10.1,23,6922.8,0.183101262,0.383,65.70%,0.062920354,2.4,12.7,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
秋田県,女,85.93,82.8,10.5,33.8,30.78,12.7,70,"1,491",94,"2,463",0.28,9,9.9,24.7,63.9,7,42.8,28.9,53.9,66.8,78.1,18.15,5.4,216.3,210.2,921,10.6,0.131,0.227,2.9,10.2,23.3,6027.9,0.189841486,0.334,100.00%,0.166495633,2.6,10.7,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山形県,女,86.28,83.35,12.1,30.8,36.05,12.7,71,"1,027",89,"2,629",0.324,10.5,9.8,29,59.5,5.8,32.7,35.3,57,69.5,76.7,29.25,4.9,215,573.5,"1,061",9.1,0.093,0.157,1.8,10.5,22.8,6218.1,0.19142402,0.376,97.10%,0.127691362,2.9,13.7,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福島県,女,86.05,83.22,12.1,28.7,29.76,14.2,70,"1,284",73,"2,787",0.469,10.1,7.6,29.2,60,7.1,33.2,27.2,57,72.3,66.5,26.79,5.4,188.8,360.2,992,12.1,0.112,0.242,2.9,9.9,23,7394.4,0.202553552,0.358,84.70%,0.139432027,2.8,12.8,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
茨城県,女,85.83,83,12.6,26.8,28.25,14.8,74,"1,227",11,"3,138",0.619,14.5,5.8,28.2,60.8,6.7,19.9,25.8,62.3,69.6,71.3,49.32,5.5,169.6,398.1,"1,166",11.6,0.097,0.271,3.2,9.8,22.8,6959.4,0.163302005,0.343,86.40%,0.112818545,2.4,10.6,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
栃木県,女,85.66,83.03,12.9,25.9,29.21,14.9,67,"1,651",17,"3,255",0.594,13.5,5.6,30.7,59.6,6.3,24.5,26.2,63.4,72.1,70.6,71.01,4.6,212.8,320.5,"1,041",11.2,0.097,0.286,2.5,9.9,23.2,6911.4,0.169938823,0.351,88.00%,0.111460954,2.7,11.5,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
群馬県,女,85.91,83.15,12.8,27.6,29.41,15.6,62,"1,232",14,"3,054",0.575,13.5,5.4,30.8,60.7,6.3,27,29.2,63.7,74.1,70.6,62.71,5.9,218.9,771.8,"1,084",10.4,0.111,0.295,2.5,10.1,23,6388.5,0.174324071,0.35,77.10%,0.186054299,2.6,12.9,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
埼玉県,女,85.88,83.07,12.6,24.8,25.35,16,63,"1,335",10,"2,859",0.755,19.4,1.7,23.5,67.6,6.3,22.2,24,66.9,76.7,66.1,196.56,4,152.8,406.4,"1,178",13.1,0.136,0.303,2.7,10.5,22.2,6925.4,0.163900581,0.349,73.00%,0.079921421,2.6,8.1,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
千葉県,女,86.2,83.44,12.4,25.9,23.54,16.7,66,"1,616",16,"3,019",0.764,21,2.9,19.2,71.6,6.1,22.5,26,66,74.2,66.3,190.78,4,182.9,299.7,"1,133",10.7,0.127,0.29,2.3,10.2,22.4,7426.9,0.153215429,0.334,63.00%,0.064555141,2.7,8.9,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都,女,86.39,83.38,11.5,22.7,17.74,16.4,68,"1,782",11,"4,508",0.925,25.1,0.4,15.2,70.8,5.9,29.9,24.6,68.6,77.3,45.8,576.32,4.4,304.5,253.6,"1,275",11.5,0.16,0.304,2.3,9.7,22,7144.7,0.149855938,0.378,83.90%,0.077982444,3,5.1,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
神奈川県,女,86.63,83.58,12.6,23.9,21.39,16.7,70,"1,836",8,"2,972",0.917,24.8,0.8,21.5,72.7,5.8,9.2,24.4,66.1,78.3,58.6,503.69,3.2,201.7,310.2,"1,175",9.7,0.141,0.31,1.9,9.6,21.6,7206.1,0.143834803,0.35,78.80%,0.038518227,3.5,8.9,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新潟県,女,86.96,83.3,12,29.9,32.95,14.4,72,"1,468",76,"2,767",0.413,10.8,6.1,28.7,62.7,5.5,33.4,23.5,57.2,70.4,75.5,51.44,4.8,188.2,232,"1,050",9.1,0.143,0.236,2.2,10,22.4,6730.5,0.16110713,0.335,76.70%,0.127967751,2.2,9.8,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
富山県,女,86.75,83.66,12.2,30.5,35.11,14.8,72,"2,141",63,"3,159",0.437,15.3,3.5,33.4,61.2,5.2,52.4,29.6,62,76.1,79.4,105.85,8.2,234.9,370,"1,070",8,0.109,0.199,2.5,9.7,22.7,6796.8,0.167404555,0.338,100.00%,0.421812749,2.3,14.6,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
石川県,女,86.75,83.53,13,27.9,32.18,15.3,71,"2,165",62,"2,972",0.446,15.2,3.2,27.3,64.8,5.4,42,29.2,62.1,74.4,70.8,79.72,7.3,270.6,328.5,"1,065",9,0.121,0.245,1.9,10.1,22,6415.3,0.170421,0.348,78.90%,0.276585732,3.2,13.9,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福井県,女,86.94,84,13.3,28.6,36.44,15.2,76,"2,300",61,"2,845",0.369,14.6,3.9,31.3,63,5.2,46.1,31.3,57.4,74.5,76.5,84.68,7.6,240,278.1,"1,160",7.3,0.099,0.216,1.8,9.8,22.9,6566.4,0.158090098,0.34,76.50%,0.223026492,3.1,15.9,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山梨県,女,86.65,83.64,12.4,28.4,30.08,15.6,64,"1,115",14,"2,918",0.372,15.6,7.2,28.6,62.2,6.2,63,31.2,65.2,75,70.9,21.1,6.2,222.4,553.5,"1,072",11,0.092,0.269,2.3,10.3,22.3,6591.2,0.162125373,0.341,92.60%,0.214450664,3.3,10.6,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
長野県,女,87.18,84.32,13,30.1,32.9,12.8,73,"1,058",75,"2,714",0.454,13.9,9.5,28.5,58.6,5.4,54.2,33.1,63.7,75.3,73,28.64,5.5,216.8,422.4,989,8.7,0.111,0.238,2.1,11.1,22.5,7145.8,0.164323931,0.317,67.50%,0.158794324,3,13.5,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
岐阜県,女,86.26,83.32,13.2,28.1,32.34,16.5,67,"2,267",27,"2,726",0.51,14.7,3.1,32.5,61.1,5.6,37.2,32.8,61.7,74.6,74.5,63.53,4.4,202.9,364.2,"1,143",9.7,0.102,0.238,1.9,9.5,22,7091.2,0.158110196,0.344,85.70%,0.269190709,2.9,16.5,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
静岡県,女,86.22,83.81,13,27.8,30.15,17.2,69,"2,805",4,"3,326",0.691,15.3,4.1,32.8,60.5,5.8,25.6,28.5,63.3,71,67.7,89.25,4.1,193.9,878.1,"1,070",10.6,0.097,0.277,2.9,9.9,22.5,7423,0.159637975,0.341,74.30%,0.102025181,1.8,9.5,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
愛知県,女,86.22,83.44,13.8,23.8,26.71,16.6,67,"1,803",15,"3,579",0.921,18.7,2.2,31.4,60,5.1,12.7,23.1,65.1,77.6,58.7,152.01,3.8,202.1,592.9,"1,216",9.3,0.11,0.28,2.2,9.4,22.7,6968.4,0.161633466,0.35,94.40%,0.153791807,2.1,11.2,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三重県,女,86.25,83.12,13,27.9,29.21,16.6,69,"1,979",19,"3,166",0.561,14.3,3.7,31.1,60,5.1,21.7,26.7,62.1,73.3,73.2,130.61,4.9,207.3,394.8,"1,121",7.9,0.093,0.251,2.9,9.6,21.5,7364.1,0.165472969,0.332,96.60%,0.242112352,1.9,14.6,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
滋賀県,女,86.69,84.03,14.5,24.2,29.08,15.5,73,"1,784",36,"3,273",0.529,18,2.8,32.7,59.4,5.1,35.4,32.6,67.9,79,72.6,45.93,3.6,211.7,416.1,"1,281",7.7,0.106,0.262,2,9.3,22.1,7211.6,0.157931696,0.333,89.50%,0.23173247,2.8,16.2,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
京都府,女,86.65,83.03,12.3,27.5,22.49,16.6,67,"2,043",26,"2,974",0.553,20.1,2.1,21.9,67.2,6.2,26.2,23.2,63.3,74.1,60.8,197.98,6.2,307.9,357.3,"1,208",8.5,0.142,0.276,2.3,9.5,23.2,7422.4,0.144205355,0.362,73.10%,0.078911252,2.7,8.6,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪府,女,85.93,82.48,12.5,26.1,19.08,17.2,66,"1,649",17,"2,995",0.738,17.8,0.5,22.7,68.7,8,16.3,20.6,62.9,73.5,54.2,472.19,5.6,261.8,459.4,"1,171",12.9,0.158,0.287,2.8,8.7,22.6,6625.6,0.153057454,0.372,65.10%,0.095287387,2.6,8.2,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
兵庫県,女,86.14,83.44,12.9,27.1,22.74,17.3,65,"1,578",20,"2,816",0.604,20.2,2,24.7,67.5,6.5,19.3,25.7,62.6,75.9,63.6,209.36,5.8,232.1,515.7,"1,104",8.7,0.128,0.282,2.6,9.4,22.4,7140.7,0.144959485,0.346,100.00%,0.158902706,3.6,10,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
奈良県,女,86.6,83.4,12.5,28.7,22.98,15.5,76,"1,512",24,"2,530",0.401,22.3,2.6,23.1,70.2,7.4,23.6,27.7,64.5,76.8,73.8,274.41,5.3,225.7,372.2,"1,230",7.2,0.119,0.29,2.5,9.3,22.2,6822.8,0.149689956,0.333,94.90%,0.208575783,2.7,11.3,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
和歌山県,女,85.69,82.56,12.1,30.9,25.57,17.2,69,"1,538",19,"2,816",0.307,13,9.3,21.7,66,6.7,30.2,24.2,56.9,66,74.8,25.31,8,277.4,363,"1,100",7.4,0.135,0.245,2.4,9.1,22,6423,0.178528284,0.374,86.70%,0.23596064,2.4,9.2,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鳥取県,女,86.08,83.75,12.9,29.7,31.98,15.4,74,"1,750",56,"2,337",0.243,13,9.3,21.8,63.4,5.9,51.3,33.9,58.5,68.4,69.8,34.16,7,289.5,183.6,944,6.9,0.105,0.213,2.1,9.1,22.1,6982.3,0.148785377,0.364,84.20%,0.191568262,2.8,16.1,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
島根県,女,87.07,83.69,12.6,32.5,32.79,15.4,77,"1,706",49,"2,424",0.229,11.8,8.3,23.4,65.5,4.6,50.6,34.8,60.9,69.2,71.8,30.96,6.3,265.1,199.9,826,6.3,0.106,0.185,1.7,9.6,22.6,6896.2,0.176580739,0.361,63.20%,0.211622175,2.7,11.7,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
岡山県,女,86.93,83.34,13.1,28.7,26.52,16.2,70,"1,334",18,"2,800",0.484,16.1,4.8,26.7,63.6,7.2,31.4,31.3,60.3,70.7,67.6,69.99,7.8,287.8,553.1,"1,043",7.8,0.108,0.249,2,9.3,22.8,6809.7,0.152990376,0.342,77.80%,0.177645059,3.7,14.2,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
広島県,女,86.94,83.84,13.4,27.5,25.35,16.6,65,"1,641",25,"3,060",0.566,18.1,3.3,25.3,66.6,5.4,30.5,28.9,62.7,74.5,62.6,132.74,7.5,252.2,392.1,"1,051",9,0.136,0.236,3,8.9,22.4,6712.1,0.141566362,0.348,87.00%,0.114183882,2.8,10.6,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山口県,女,86.07,83.6,12.2,32.1,24.91,15.9,75,"2,061",55,"3,125",0.409,13.5,5.4,26.2,66.3,5.9,36.1,31,62.3,71.2,67.3,65.86,8.5,244.8,407.7,849,8.1,0.117,0.244,2,9.1,22.4,6937.8,0.157541459,0.361,94.70%,0.105164843,2.7,14,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
徳島県,女,86.21,82.87,11.7,31,26.92,17,69,"1,986",10,"2,878",0.3,14.3,8.5,23.4,64.4,7.6,37.2,24.3,57.5,66.5,71.8,25.19,12.8,303.3,511.6,"1,052",6.1,0.109,0.267,2.8,9.1,23,6608.2,0.178309987,0.369,91.70%,0.137941153,2.8,12.2,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
香川県,女,86.34,83.29,12.8,29.9,27.62,16.9,68,"1,210",13,"2,798",0.443,16.5,5.7,24.9,67,6.3,29.2,27.8,59.5,70.7,71,48.45,8.2,268.3,801.3,998,7.9,0.106,0.246,3.4,8.8,22.2,7293.7,0.164571458,0.349,82.40%,0.207299129,2.6,13.1,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
愛媛県,女,86.54,83.15,12.4,30.6,24.65,16.8,70,"1,687",10,"2,543",0.396,14.8,8,23.8,65.3,7.3,30.9,27.4,60.2,65.2,66.3,35.32,9.2,254.3,367.2,"1,046",7.7,0.095,0.271,1.8,9.4,23.1,6542.3,0.15363392,0.353,85.00%,0.170682335,3.7,13.2,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高知県,女,86.47,83.38,11.6,32.8,24.67,17.5,71,"2,967",5,"2,447",0.233,11,12.1,17.1,68.1,7.7,44.9,23.7,54.7,56.7,65.8,71.6,16.1,293,328.3,873,10.4,0.156,0.288,2.1,8.9,23.4,6510.1,0.171044889,0.363,67.60%,0.110775315,2.8,7.2,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福岡県,女,86.48,83.56,13.4,25.9,21.82,17.3,71,"1,868",14,"2,831",0.596,16.3,2.9,19.8,71.8,7.8,22.6,27.3,59.6,72.1,53.8,212.37,7.9,292.9,778.9,"1,052",11.9,0.129,0.267,2.5,9.1,22.2,6739.8,0.149067756,0.362,85.00%,0.106096785,3.3,12.9,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佐賀県,女,86.58,83.73,14,27.7,31.74,17.1,72,"2,083",11,"2,513",0.312,12.3,9.2,23.5,64.2,6.3,34.2,31.8,57.8,68.4,70.5,19.34,11.3,266.1,"1,027.90","1,093",10.4,0.099,0.225,2.5,8.7,22.3,6700.7,0.160429326,0.344,90.00%,0.232668492,3.1,18.3,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
長崎県,女,86.3,83.32,13,29.6,25.86,17.3,73,"2,392",10,"2,419",0.301,11,7.9,19.5,69.2,6.6,26.8,26.9,60.1,65,66,70.14,9.2,287.7,444.5,970,9.4,0.094,0.269,1.8,8.9,23.6,6226.5,0.196596315,0.362,100.00%,0.196189454,2.1,11.5,327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
熊本県,女,86.98,84.03,13.6,28.8,28.1,17.2,74,"2,292",6,"2,422",0.369,12.4,10.2,20.6,66.6,6.7,24.8,30.7,60.3,67.7,64.1,60.73,9.8,275.3,371.8,"1,026",8.2,0.107,0.26,1.9,9.3,22.9,6465,0.17458249,0.36,91.10%,0.20686761,3.2,12.8,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大分県,女,86.91,84.07,12.7,30.4,25.67,16.8,71,"1,678",6,"2,559",0.343,12.7,7.2,23.5,66,7.1,29.4,28.9,60.6,68.1,63.7,62.69,11.4,260.8,421.6,892,9.3,0.104,0.282,2.5,9.1,23.1,7303.7,0.165425604,0.377,100.00%,0.178615911,3,12.8,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宮崎県,女,86.61,83.91,13.7,29.5,27.89,17.7,77,"3,193",1,"2,407",0.304,10.4,11.4,20.8,64.3,7,24.8,27.8,61.9,64.9,67.4,53.28,11,233.2,856.4,969,9,0.114,0.289,2.5,10,22.6,6112.8,0.184434038,0.342,65.40%,0.116516007,3.3,11.2,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鹿児島県,女,86.28,83.38,13.5,29.4,24.97,18.8,74,"3,664",5,"2,399",0.306,10.6,10,18.8,67.2,6.8,37.1,34.4,61.4,67,65.4,38.57,13,247.8,487.4,"1,017",8,0.09,0.284,2.9,9.6,22.2,6406,0.197382469,0.378,100.00%,0.170924614,3,14.2,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
沖縄県,女,87.02,83.39,17.4,19.6,22.35,23.6,73,"1,425",0,"2,102",0.296,12.7,5,14,72.3,11,27.1,22.4,62.3,50.8,48,66.1,5.7,241.5,392.1,954,9.5,0.083,0.279,3.9,7.8,23.9,7198.8,0.206425881,0.366,85.40%,0.157847749,2.9,6.2,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
