都道府県,性別,平均寿命,健康寿命,年少人口,老年人口,共働き,気温,湿度,降水量,雪日数,県所得,財政力指数,学歴大学,１次産業就業,２次産業就業,３次産業就業,完全失業率,図書館数,ボランティア活動,スポーツの行動者率,旅行・行楽行動者率,持ち家,公園数,病院数,医師数,交通事故件数,スマートフォン,喫煙率,毎日酒を飲む割合,軽く汗をかく運動,糖尿病,食塩摂取量,BMI,歩数,血圧薬の使用,ジニ係数,地域スポーツクラブ育成率,老人クラブ入会率,健康・医療サービス活動,まちづくり活動,う蝕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
千葉県,男,79.88,79.15,12.4,25.9,23.54,16.7,66,"1,616",16,"3,019",0.764,21,2.9,19.2,71.6,6.1,22.5,26,66,74.2,66.3,190.78,4,182.9,299.7,"1,133",33.6,0.407,0.318,4.8,12.1,23.5,8024.6,0.246553135,0.334,63.00%,0.064555141,3.7,10.3,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都,男,79.82,78.95,11.5,22.7,17.74,16.4,68,"1,782",11,"4,508",0.925,25.1,0.4,15.2,70.8,5.9,29.9,24.6,68.6,77.3,45.8,576.32,4.4,304.5,253.6,"1,275",31.3,0.403,0.329,5.5,11.4,23.4,8272.4,0.254812371,0.378,83.90%,0.077982444,2.7,5.2,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
神奈川県,男,80.25,79.26,12.6,23.9,21.39,16.7,70,"1,836",8,"2,972",0.917,24.8,0.8,21.5,72.7,5.8,9.2,24.4,66.1,78.3,58.6,503.69,3.2,201.7,310.2,"1,175",30.1,0.405,0.327,3.8,11.6,24.2,8098.6,0.240992014,0.35,78.80%,0.038518227,2.5,8.4,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新潟県,男,79.47,78.65,12,29.9,32.95,14.4,72,"1,468",76,"2,767",0.413,10.8,6.1,28.7,62.7,5.5,33.4,23.5,57.2,70.4,75.5,51.44,4.8,188.2,232,"1,050",35,0.499,0.268,4.6,11.7,23.1,6927.2,0.256115618,0.335,76.70%,0.127967751,2.8,14.3,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
富山県,男,79.71,78.6,12.2,30.5,35.11,14.8,72,"2,141",63,"3,159",0.437,15.3,3.5,33.4,61.2,5.2,52.4,29.6,62,76.1,79.4,105.85,8.2,234.9,370,"1,070",33.3,0.457,0.231,4.6,11.3,23.1,7422.8,0.255224432,0.338,100.00%,0.421812749,2.7,18.7,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
石川県,男,79.71,79.24,13,27.9,32.18,15.3,71,"2,165",62,"2,972",0.446,15.2,3.2,27.3,64.8,5.4,42,29.2,62.1,74.4,70.8,79.72,7.3,270.6,328.5,"1,065",34.4,0.412,0.273,4.9,12,23.1,7550.2,0.256654907,0.348,78.90%,0.276585732,3.4,17.7,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福井県,男,80.47,79.4,13.3,28.6,36.44,15.2,76,"2,300",61,"2,845",0.369,14.6,3.9,31.3,63,5.2,46.1,31.3,57.4,74.5,76.5,84.68,7.6,240,278.1,"1,160",33.3,0.42,0.261,6.3,11.8,23.2,7409.7,0.237991844,0.34,76.50%,0.223026492,3.7,20.2,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山梨県,男,79.54,79.27,12.4,28.4,30.08,15.6,64,"1,115",14,"2,918",0.372,15.6,7.2,28.6,62.2,6.2,63,31.2,65.2,75,70.9,21.1,6.2,222.4,553.5,"1,072",36.8,0.379,0.303,7.1,12.3,23.7,7119.5,0.250564591,0.341,92.60%,0.214450664,4.1,16.7,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
長野県,男,80.88,79.8,13,30.1,32.9,12.8,73,"1,058",75,"2,714",0.454,13.9,9.5,28.5,58.6,5.4,54.2,33.1,63.7,75.3,73,28.64,5.5,216.8,422.4,989,31.9,0.407,0.263,5.1,12.6,23.4,7089,0.245268537,0.317,67.50%,0.158794324,2.4,21.4,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
岐阜県,男,79.92,79.09,13.2,28.1,32.34,16.5,67,"2,267",27,"2,726",0.51,14.7,3.1,32.5,61.1,5.6,37.2,32.8,61.7,74.6,74.5,63.53,4.4,202.9,364.2,"1,143",32.4,0.406,0.271,3.9,11,23,8327.8,0.235955232,0.344,85.70%,0.269190709,3.4,19.1,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
