Province,Population,Male,Female
Seoul,990,486,504
Pusan,345,170,175
Daeku,247,123,124
Incheon,289,146,144
Kwangju,150,75,75
Daejeon,154,77,77
Ulsan,117,61,56
Sejong,20,10,10
Kyungki,1248,631,617
Kangwon,152,77,75
Chungbuk,159,81,78
Chungnam,211,108,103
Jeonbuk,183,92,92
Jeonnam,180,90,90
Kyungbuk,268,135,133
Kyungnam,333,170,164
Jeju,61,30,30